#    Lat.       Lon.           Depth(km)    Vp(km/s)     Vs(km/s)    Rho(g/cm^3)  
     42.3750    -106.8750       3.0000       5.2520       3.2180       2.5957 
     42.3750    -106.6250       3.0000       5.2840       3.3370       2.6003 
     42.3750    -106.3750       3.0000       5.3070       3.3860       2.6036 
     42.3750    -106.1250       3.0000       5.3320       3.3270       2.6073 
     42.3750    -105.8750       3.0000       5.3620       3.2220       2.6117 
     42.3750    -105.6250       3.0000       5.3670       3.1750       2.6124 
     42.3750    -105.3750       3.0000       5.3380       3.1120       2.6081 
     42.3750    -105.1250       3.0000       5.2930       3.0190       2.6016 
     42.3750    -104.8750       3.0000       5.2560       2.9660       2.5963 
     42.3750    -104.6250       3.0000       5.2030       2.9520       2.5887 
